time,refact,number
2002,Localize Parameter,4
2002,Move Class,19
2002,Remove Parameter,2
2002,Add Thrown Exception Type,3
2002,Rename Method,25
2002,Change Attribute Access Modifier,2
2002,Change Method Access Modifier,13
2002,Rename Variable,2
2002,Change Return Type,8
2002,Remove Thrown Exception Type,8
2002,Rename Attribute,32
2002,Change Attribute Type,2
2002,Rename Parameter,4
2003,Rename Method,1
2003,Change Attribute Access Modifier,3
2003,Rename Variable,2
2003,Move Class,14
2003,Rename Attribute,8
2003,Rename Parameter,2
2004,Extract Subclass,3
2004,Change Parameter Type,5
2004,Remove Class Modifier,2
2004,Rename Class,1
2004,Replace Attribute With Variable,1
2004,Remove Parameter,1
2004,Rename Method,8
2004,Change Method Access Modifier,2
2004,Replace Variable With Attribute,1
2004,Extract And Move Method,1
2004,Add Class Modifier,2
2004,Move Method,1
2004,Push Down Attribute,13
2004,Encapsulate Attribute,1
2004,Change Variable Type,5
2004,Extract Method,12
2004,Pull Up Method,3
2004,Push Down Method,25
2004,Add Parameter,2
2004,Rename Variable,3
2004,Change Return Type,7
2004,Remove Thrown Exception Type,1
2004,Extract Superclass,2
2004,Rename Attribute,2
2004,Change Class Access Modifier,2
2004,Change Attribute Type,6
2005,Rename Method,1
2005,Change Attribute Access Modifier,1
2005,Rename Variable,1
2005,Change Method Access Modifier,1
2005,Parameterize Variable,1
2005,Rename Attribute,1
2005,Extract Superclass,1
2005,Extract Variable,1
2005,Remove Attribute Modifier,2
2005,Inline Variable,10
2006,Move Source Folder,2
2006,Move Attribute,18
2006,Rename Class,1
2006,Move Class,12
2006,Encapsulate Attribute,1
2006,Remove Method Modifier,2
2006,Change Variable Type,8
2006,Extract Method,7
2006,Add Thrown Exception Type,2
2006,Rename Method,2
2006,Change Attribute Access Modifier,16
2006,Add Parameter,2
2006,Inline Method,5
2006,Rename Variable,2
2006,Change Method Access Modifier,1
2006,Add Attribute Modifier,42
2006,Change Return Type,1
2006,Rename Attribute,7
2006,Remove Attribute Modifier,1
2006,Change Attribute Type,11
2008,Add Method Annotation,196
2008,Localize Parameter,2
2008,Change Parameter Type,10
2008,Move Source Folder,1
2008,Add Method Modifier,2
2008,Rename Class,3
2008,Extract Attribute,2
2008,Move Class,2
2008,Change Thrown Exception Type,2
2008,Change Variable Type,39
2008,Extract Method,7
2008,Add Thrown Exception Type,1
2008,Rename Method,5
2008,Add Parameter,4
2008,Change Method Access Modifier,1
2008,Add Attribute Modifier,52
2008,Change Return Type,7
2008,Remove Thrown Exception Type,3
2008,Replace Variable With Attribute,1
2008,Rename Attribute,2
2008,Change Attribute Type,9
2008,Rename Parameter,2
2008,Add Class Modifier,1
2009,Add Method Annotation,3
2009,Change Parameter Type,8
2009,Move Method,4
2009,Rename Class,2
2009,Extract Class,1
2009,Move Class,14
2009,Move And Rename Class,5
2009,Encapsulate Attribute,1
2009,Change Variable Type,10
2009,Extract Variable,1
2009,Add Thrown Exception Type,5
2009,Rename Method,2
2009,Change Method Access Modifier,1
2009,Change Return Type,4
2009,Add Attribute Modifier,1
2009,Rename Attribute,1
2009,Change Attribute Type,4
2009,Add Variable Annotation,1
2010,Add Method Annotation,4
2010,Change Parameter Type,6
2010,Extract Attribute,2
2010,Rename Class,1
2010,Replace Attribute With Variable,2
2010,Remove Method Annotation,1
2010,Change Variable Type,31
2010,Extract Variable,5
2010,Extract Method,2
2010,Add Thrown Exception Type,1
2010,Rename Method,2
2010,Parameterize Attribute,1
2010,Change Attribute Access Modifier,11
2010,Rename Variable,4
2010,Change Return Type,3
2010,Add Attribute Modifier,56
2010,Remove Thrown Exception Type,2
2010,Add Attribute Annotation,4
2010,Remove Attribute Modifier,2
2010,Change Attribute Type,4
2011,Add Method Annotation,6
2011,Change Parameter Type,54
2011,Pull Up Attribute,5
2011,Move Attribute,1
2011,Rename Class,1
2011,Remove Variable Modifier,1
2011,Remove Parameter,1
