time,regularCommit,time,refactoringCommit
200501,4,200501,0
200503,25,200503,1
200504,27,200504,9
200505,22,200505,10
200506,24,200506,5
200507,24,200507,7
200508,35,200508,5
200509,26,200509,3
200510,11,200510,3
200512,19,200512,9
200601,33,200601,6
200602,83,200602,13
200603,55,200603,10
200604,45,200604,8
200605,68,200605,24
200606,77,200606,17
200607,37,200607,4
200608,17,200608,3
200609,25,200609,6
200610,10,200610,2
200611,28,200611,8
200612,15,200612,5
200701,26,200701,6
200702,4,200702,0
200703,35,200703,7
200704,10,200704,0
200705,11,200705,2
200706,20,200706,9
200707,15,200707,4
200708,8,200708,2
200709,10,200709,4
200710,4,200710,2
200711,13,200711,3
200712,3,200712,2
200801,8,200801,3
200802,10,200802,4
200803,13,200803,5
200804,5,200804,0
200805,1,200805,0
200806,2,200806,1
200807,1,200807,1
200808,3,200808,0
200809,7,200809,2
200810,2,200810,2
200812,15,200812,2
200901,20,200901,4
200902,22,200902,4
200903,25,200903,1
200904,1,200904,0
200906,2,200906,1
200907,1,200907,0
200908,4,200908,1
200909,1,200909,0
200910,8,200910,1
200911,14,200911,4
200912,8,200912,1
201001,5,201001,2
201002,13,201002,2
201003,13,201003,3
201004,9,201004,3
201005,9,201005,0
201006,21,201006,1
201007,59,201007,19
201008,43,201008,12
201009,10,201009,0
201010,16,201010,5
201011,5,201011,1
201012,7,201012,1
201101,26,201101,5
201103,11,201103,1
201104,22,201104,5
201105,19,201105,3
201106,21,201106,1
201107,33,201107,8
201108,23,201108,4
201109,23,201109,5
201110,13,201110,2
201111,41,201111,5
201112,17,201112,5
201201,17,201201,4
201202,20,201202,3
201203,15,201203,2
201204,7,201204,0
201205,8,201205,0
201206,29,201206,6
201207,14,201207,2
201208,2,201208,0
201209,3,201209,1
201210,9,201210,0
201211,11,201211,1
201212,3,201212,0
201301,14,201301,3
201302,2,201302,0
201303,4,201303,2
201304,7,201304,2
201305,10,201305,3
201306,19,201306,2
201307,14,201307,3
201308,3,201308,0
201309,2,201309,0
201310,8,201310,2
201311,7,201311,1
201312,3,201312,2
201401,16,201401,3
201402,5,201402,0
201403,12,201403,2
201404,15,201404,4
201405,11,201405,4
201406,13,201406,4
201407,18,201407,3
201408,5,201408,0
201409,15,201409,2
201410,10,201410,1
201411,9,201411,2
201412,5,201412,1
201501,12,201501,0
201502,15,201502,2
201503,19,201503,5
201504,36,201504,7
201505,19,201505,5
201506,14,201506,1
201507,18,201507,4
201508,15,201508,3
201509,22,201509,5
201510,24,201510,6
201511,20,201511,6
201512,13,201512,1
201601,15,201601,3
201602,29,201602,10
201603,7,201603,0
201604,15,201604,5
201605,12,201605,3
201606,8,201606,2
201607,12,201607,3
201608,10,201608,3
201609,1,201609,0
201610,6,201610,2
201611,8,201611,0
201612,3,201612,1
201701,5,201701,2
201702,3,201702,2
201703,11,201703,0
201704,13,201704,3
201705,2,201705,0
201707,12,201707,3
201708,16,201708,5
201709,8,201709,3
201710,13,201710,0
201711,16,201711,6
201712,70,201712,20
201801,34,201801,10
201802,2,201802,0
201803,22,201803,10
201804,23,201804,11
201805,18,201805,8
201806,38,201806,14
201807,24,201807,8
201808,6,201808,3
201809,7,201809,1
201810,23,201810,5
201811,16,201811,2
201812,1,201812,0
201901,20,201901,5
201902,11,201902,5
201903,8,201903,1
201904,7,201904,2
201905,9,201905,4
201906,1,201906,0
201907,4,201907,0
201908,12,201908,5
201909,20,201909,7
201910,8,201910,3
201911,4,201911,4
201912,5,201912,2
202001,9,202001,1
202002,10,202002,6
202003,2,202003,0
202004,22,202004,1
202005,8,202005,1
202006,7,202006,1
202007,11,202007,2
202008,42,202008,7
202009,1,202009,0
202011,3,202011,0
202012,3,202012,1
202101,12,202101,1
202102,6,202102,1
202103,5,202103,2
202104,1,202104,0
202105,1,202105,0
202106,6,202106,1
202107,2,202107,0
202108,1,202108,0
202109,5,202109,0
202110,4,202110,1
202111,16,202111,4
202112,13,202112,1
202201,6,202201,4
202205,13,202205,4
202206,3,202206,1
202208,31,202208,4
202209,5,202209,0
202212,2,202212,1
202301,2,202301,0
202302,1,202302,0
202303,13,202303,2
202305,1,202305,0
202306,1,202306,0
202308,9,202308,3
202309,11,202309,1
202310,13,202310,3
202311,7,202311,1
202401,1,202401,0
202403,11,202403,0
