time,regularCommit,time,refactoringCommit
200605,10,200605,0
200606,3,200606,2
200607,71,200607,16
200608,85,200608,22
200609,103,200609,33
200610,78,202402,0
200611,76,200611,17
200612,48,200612,11
200701,69,200701,20
200702,59,200702,14
200703,36,200703,14
200704,84,200704,17
200705,30,200705,4
200706,50,200706,7
200707,57,200707,19
200708,100,200708,32
200709,37,200709,14
200710,63,200710,10
200711,42,200711,15
200712,21,200712,3
200801,40,200801,14
200802,66,200802,22
200803,35,200803,11
200804,29,200804,8
200805,48,200805,13
200806,50,200806,18
200807,55,200807,11
200808,68,200808,21
200809,28,200809,4
200810,31,200810,14
200811,24,200811,7
200812,57,200812,25
200901,60,200901,27
200902,82,200902,35
200903,87,200903,35
200904,83,200904,37
200905,130,200905,57
200906,94,200906,25
200907,112,200907,45
200908,120,200908,48
200909,147,200909,55
200910,113,200910,37
200911,70,200911,25
200912,69,200912,29
201001,98,201001,25
201002,94,201002,22
201003,199,201003,46
201004,76,201004,20
201005,88,201005,20
201006,95,201006,20
201007,79,201007,19
201008,95,201008,20
201009,40,201009,8
201010,196,201010,71
201011,66,201011,17
201012,22,201012,5
201101,25,201101,3
201102,29,201102,9
201103,29,201103,6
201104,30,201104,8
201105,17,201105,5
201106,29,201106,11
201107,16,201107,3
201108,31,201108,9
201109,9,201109,1
201110,18,201110,6
201111,20,201111,6
201112,34,201112,7
201201,37,201201,15
201202,42,201202,7
201203,28,201203,9
201204,20,201204,8
201205,22,201205,10
201206,18,201206,2
201207,21,201207,5
201208,10,201208,4
201209,12,201209,3
201210,14,201210,7
201211,15,201211,5
201212,9,201212,3
201301,12,201301,3
201302,17,201302,1
201303,21,201303,12
201304,14,201304,1
201305,6,201305,1
201306,5,201306,2
201307,16,201307,3
201308,12,201308,2
201309,2,201309,2
201310,23,201310,8
201311,2,201311,0
201312,4,201312,1
201401,1,201401,0
201402,10,201402,5
201403,5,201403,2
201404,7,201404,2
201405,3,201405,1
201406,5,201406,3
201407,2,201407,0
201409,3,201409,1
201410,7,201410,2
201411,3,201411,1
201412,1,201412,0
201501,9,201501,2
201502,1,201502,0
201503,3,201503,0
201504,25,201504,2
201505,7,201505,1
201506,19,201506,4
201507,6,201507,3
201509,3,201509,1
201510,2,201510,0
201511,5,201511,1
201512,3,201512,0
201601,2,201601,1
201602,11,201602,0
201603,13,201603,0
201604,1,201604,0
201605,6,201605,1
201606,1,201606,1
201608,16,201608,4
201609,20,201609,5
201610,6,201610,1
201611,5,201611,0
201612,1,201612,1
201702,1,201702,1
201703,1,201703,0
201705,1,201705,0
201706,2,201706,0
201707,2,201707,0
201709,1,201709,0
201710,1,201710,0
201801,1,201801,0
201803,2,201803,0
201804,1,201804,0
201805,3,201805,1
201806,11,201806,0
201807,2,201807,0
201808,4,201808,0
201809,4,201809,3
201810,14,201810,6
201811,17,201811,6
201812,6,201812,0
201901,29,201901,6
201902,23,201902,3
201903,7,201903,3
201904,13,201904,2
201905,2,201905,1
201906,3,201906,1
201907,1,201907,0
201911,1,201911,0
201912,1,201912,0
202001,2,202001,1
202002,6,202002,0
202003,8,202003,1
202004,6,202004,2
202005,3,202005,0
202006,2,202006,0
202007,23,202007,1
202008,3,202008,1
202009,24,202009,4
202010,10,202010,2
202011,2,202011,1
202012,5,202012,1
202101,1,202101,0
202103,11,202103,3
202104,54,202104,13
202105,37,202105,3
202106,6,202106,3
202107,3,202107,1
202109,1,202109,0
202110,6,202110,1
202111,4,202111,1
202112,3,202112,2
202202,4,202202,0
202203,4,202203,0
202209,4,202209,0
202211,2,202211,1
202304,5,202304,4
202305,23,202305,15
202306,25,202306,17
202307,44,202307,26
202310,4,202310,1
202402,2,200610,23
