time,regularCommit,time,refactoringCommit
200603,39,200603,9
200604,152,200604,14
200605,115,200605,10
200606,143,200606,6
200607,122,200607,24
200608,73,200608,13
200609,132,200609,31
200610,84,200610,10
200611,123,200611,30
200612,70,200612,14
200701,128,200701,25
200702,51,200702,6
200703,87,200703,13
200704,53,200704,8
200705,78,200705,12
200706,61,200706,6
200707,71,200707,19
200708,76,200708,15
200709,69,200709,13
200710,30,200710,5
200711,52,200711,6
200712,14,200712,1
200801,57,200801,7
200802,43,200802,2
200803,7,200803,1
200804,59,200804,13
200805,23,200805,8
200806,58,200806,11
200807,24,200807,5
200808,12,200808,1
200809,4,200809,0
200810,3,200810,0
200811,12,200811,7
200812,69,200812,13
200901,22,200901,1
200902,29,200902,13
200903,36,200903,5
200904,50,200904,11
200905,21,200905,3
200906,24,200906,3
200907,19,200907,4
200908,36,200908,4
200909,34,200909,7
200910,8,200910,2
200911,21,200911,9
201001,2,201001,1
201002,6,201002,0
201003,26,201003,4
201004,14,201004,5
201005,16,201005,2
201006,32,201006,2
201007,12,201007,3
201008,1,201008,0
201009,9,201009,2
201010,8,201010,3
201011,6,201011,1
201012,28,201012,0
201101,22,201101,2
201102,21,201102,8
201103,39,201103,5
201104,14,201104,4
201105,8,201105,3
201106,37,201106,6
201107,6,201107,1
201108,18,201108,7
201109,15,201109,3
201110,13,201110,2
201111,13,201111,2
201112,19,201112,4
201201,9,201201,2
201202,15,201202,4
201203,17,201203,6
201204,36,201204,13
201205,19,201205,4
201206,5,201206,3
201207,17,201207,7
201208,10,201208,4
201209,16,201209,5
201210,26,201210,7
201211,26,201211,9
201212,36,201212,11
201301,67,201301,22
201302,22,201302,4
201303,58,201303,21
201304,18,201304,3
201305,37,201305,12
201306,21,201306,5
201307,32,201307,6
201308,4,201308,1
201309,37,201309,6
201310,40,201310,12
201311,12,201311,3
201312,7,201312,4
201401,24,201401,4
201402,25,201402,8
201403,64,201403,7
201404,33,201404,3
201405,50,201405,9
201406,17,201406,1
201407,36,201407,11
201408,38,201408,7
201409,12,201409,4
201410,4,201410,1
201411,14,201411,3
201412,36,201412,9
201501,9,201501,1
201502,7,201502,3
201503,10,201503,1
201504,14,201504,4
201505,45,201505,5
201506,56,201506,28
201507,20,201507,2
201508,13,201508,1
201509,44,201509,7
201510,31,201510,9
201511,51,201511,17
201512,3,201512,2
201601,144,201601,38
201602,28,201602,1
201603,34,201603,3
201604,9,201604,2
201605,37,201605,3
201606,32,201606,3
201607,19,201607,4
201608,18,201608,6
201609,27,201609,8
201610,21,201610,6
201611,48,201611,21
201612,20,201612,9
201701,22,201701,7
201702,19,201702,3
201703,82,201703,42
201704,53,201704,29
201705,17,201705,11
201706,14,201706,4
201707,22,201707,5
201708,26,201708,7
201709,16,201709,5
201710,62,201710,5
201711,51,201711,8
201712,27,201712,9
201801,71,201801,25
201802,25,201802,4
201803,25,201803,8
201804,1,201804,0
201805,24,201805,5
201806,6,201806,0
201807,2,201807,0
201808,17,201808,5
201809,25,201809,17
201810,6,201810,2
201811,46,201811,14
201812,51,201812,11
201901,21,201901,9
201902,17,201902,4
201903,3,201903,0
201904,7,201904,3
201905,1,201905,0
201906,7,201906,2
201908,1,201908,0
201909,8,201909,0
201910,11,201910,1
201911,17,201911,0
201912,27,201912,6
202001,4,202001,2
202002,78,202002,6
202003,14,202003,2
202004,39,202004,20
202005,14,202005,3
202006,2,202006,0
202007,11,202007,4
202008,13,202008,4
202009,5,202009,0
202010,7,202010,0
202011,19,202011,8
202012,21,202012,7
202101,22,202101,8
202102,3,202102,0
202103,8,202103,0
202104,2,202104,0
202105,4,202105,1
202106,10,202106,2
202107,1,202107,1
202109,7,202109,3
202110,7,202110,4
202111,17,202111,4
202112,25,202112,0
202201,20,202201,6
202202,13,202202,4
202203,10,202203,3
202204,2,202204,0
202205,26,202205,8
202206,25,202206,8
202207,9,202207,2
202208,24,202208,8
202209,35,202209,6
202210,30,202210,12
202211,24,202211,10
202212,11,202212,3
202301,10,202301,5
202302,6,202302,3
202303,38,202303,26
202304,3,202304,3
202305,14,202305,6
202306,7,202306,2
202307,30,202307,2
202308,90,202308,28
202309,31,202309,9
202310,44,202310,9
202311,46,202311,17
202312,38,202312,14
202401,75,202401,21
202402,19,202402,4
202403,4,202403,0
