time,regularCommit,time,refactoringCommit
201304,31,201304,18
201305,57,201305,33
201306,79,201306,43
201307,25,201307,15
201308,36,201308,18
201309,81,201309,50
201310,57,201310,32
201311,53,201311,22
201312,22,201312,11
201401,40,201401,21
201402,79,201402,36
201403,67,201403,33
201404,51,201404,35
201405,33,201405,16
201406,34,201406,19
201407,71,201407,41
201408,140,201408,76
201409,68,201409,32
201410,87,201410,34
201411,60,201411,13
201412,74,201412,17
201501,76,201501,27
201502,66,201502,17
201503,47,201503,23
201504,77,201504,35
201505,88,201505,24
201506,53,201506,7
201507,27,201507,6
201508,103,201508,57
201509,72,201509,30
201510,39,201510,12
201511,37,201511,9
201512,46,201512,14
201601,21,201601,5
201602,73,201602,11
201603,25,201603,12
201604,33,201604,10
201605,21,201605,8
201606,22,201606,6
201607,39,201607,13
201608,16,201608,5
201609,16,201609,8
201610,29,201610,10
201611,18,201611,9
201612,15,201612,6
201701,33,201701,9
201702,38,201702,12
201703,30,201703,7
201704,24,201704,14
201705,32,201705,19
201706,26,201706,10
201707,16,201707,4
201708,6,201708,4
201709,15,201709,2
201710,12,201710,3
201711,6,201711,0
201712,3,201712,0
201801,5,201801,2
201802,6,201802,2
201803,5,201803,3
201804,12,201804,3
201805,16,201805,5
201806,13,201806,3
201807,10,201807,5
201808,5,201808,2
201809,9,201809,3
201810,8,201810,3
201811,3,201811,1
201812,2,201812,1
201901,1,201901,1
201902,10,201902,2
201903,13,201903,3
201904,2,201904,1
201905,6,201905,2
201907,1,201907,0
201908,1,201908,1
201910,4,201910,4
201911,7,201911,3
201912,4,201912,1
202001,7,202001,3
202002,17,202002,4
202003,4,202003,1
202004,17,202004,7
202005,10,202005,5
202006,2,202006,2
202007,7,202007,3
202008,15,202008,8
202009,3,202009,1
202010,5,202010,3
202011,3,202011,2
202012,5,202012,1
202101,11,202101,3
202102,16,202102,0
202103,1,202103,0
202104,4,202104,1
202105,3,202105,1
202106,6,202106,3
202107,4,202107,1
202108,7,202108,1
202110,2,202110,1
202111,4,202111,3
202112,3,202112,0
202201,15,202201,8
202202,6,202202,1
202203,3,202203,1
202204,5,202204,1
202205,5,202205,1
202206,11,202206,2
202207,4,202207,0
202208,3,202208,1
202209,1,202209,1
202210,6,202210,2
202211,4,202211,1
202212,1,202212,0
202301,2,202301,0
202302,11,202302,6
202303,2,202303,1
202304,5,202304,0
202305,1,202305,0
202306,10,202306,4
202307,2,202307,1
202308,2,202308,2
202309,1,202309,1
202310,5,202310,2
202311,1,202311,1
202312,2,202312,1
202401,12,202401,1
202402,3,202402,1
