time,regularCommit,time,refactoringCommit
201012,60,201012,3
201101,111,201101,11
201102,21,201102,0
201103,22,201103,1
201104,10,201104,1
201105,98,201105,21
201106,16,201106,3
201107,83,201107,37
201108,94,201108,35
201109,24,201109,4
201110,10,201110,1
201111,86,201111,13
201112,7,201112,1
201201,7,201201,2
201202,85,201202,28
201203,40,201203,10
201204,46,201204,16
201205,34,201205,11
201206,1,201206,0
201207,25,201207,11
201208,3,201208,0
201209,2,201209,1
201210,7,201210,3
201211,1,201211,0
201212,14,201212,3
201302,6,201302,0
201303,8,201303,0
201304,9,201304,0
201305,7,201305,0
201306,8,201306,5
201307,2,201307,1
201308,2,201308,0
201309,14,201309,8
201310,19,201310,6
201311,5,201311,1
201312,2,201312,0
201401,43,201401,21
201402,43,201402,16
201403,75,201403,13
201404,19,201404,7
201405,10,201405,5
201406,2,201406,1
201407,3,201407,1
201408,1,201408,0
201409,1,201409,0
201410,20,201410,3
201411,7,201411,0
201412,17,201412,0
201501,12,201501,1
201503,10,201503,4
201504,20,201504,2
201505,22,201505,3
201506,5,201506,0
201507,1,201507,0
201508,2,201508,0
201509,12,201509,1
201510,2,201510,1
201511,3,201511,1
201601,3,201601,1
201602,6,201602,1
201603,3,201603,1
201604,5,201604,2
201605,3,201605,1
201607,9,201607,4
201609,7,201609,1
201610,21,201610,3
201611,20,201611,12
201612,64,201612,20
201701,98,201701,44
201702,33,201702,7
201703,13,201703,4
201704,34,201704,15
201705,44,201705,13
201706,20,201706,9
201707,30,201707,5
201708,8,201708,1
201709,11,201709,0
201710,17,201710,2
201711,5,201711,1
201712,12,201712,6
201801,4,201801,2
201804,4,201804,0
201805,9,201805,4
201806,13,201806,0
201807,1,201807,0
201808,7,201808,0
201809,1,201809,1
201810,2,201810,1
201811,1,201811,0
201812,13,201812,0
201901,2,201901,0
201905,3,201905,0
201910,1,201910,0
201912,2,201912,0
202001,10,202001,4
202002,1,202002,0
202003,3,202003,0
202005,2,202005,0
202006,3,202006,0
202007,2,202007,0
202009,1,202009,0
202011,4,202011,1
202012,4,202012,0
202102,1,202102,1
202106,1,202106,0
202108,2,202108,0
202110,3,202110,0
202112,1,202112,0
202201,4,202201,1
202202,1,202202,0
202203,7,202203,0
202204,8,202204,2
202205,3,202205,0
202206,2,202206,0
202208,3,202208,3
202210,7,202210,1
202211,13,202211,7
202212,32,202212,23
202301,22,202301,9
202302,18,202302,2
202303,16,202303,5
202304,10,202304,1
202305,3,202305,2
202306,6,202306,3
202307,9,202307,3
202308,3,202308,1
202309,3,202309,2
202310,4,202310,1
202311,6,202311,1
202312,20,202312,5
202401,10,202401,1
202402,1,202402,0
