time,regularCommit,refactoringCommit
200412,44,18
200501,53,14
200502,105,31
200503,25,7
200504,29,11
200505,48,17
200506,53,18
200507,30,13
200508,54,23
200509,36,10
200510,42,15
200511,47,12
200512,59,19
200601,65,33
200602,46,7
200603,74,17
200604,56,16
200605,48,10
200606,29,11
200607,24,7
200608,24,8
200609,40,18
200610,75,24
200611,213,40
200612,235,69
200701,161,30
200702,302,24
200703,855,71
200704,414,83
200705,466,66
200706,194,19
200707,125,19
200708,93,25
200709,146,35
200710,283,52
200711,85,28
200712,110,34
200801,118,43
200802,195,32
200803,200,38
200804,130,16
200805,191,32
200806,85,27
200807,10,2
200808,21,4
200809,35,9
200810,73,17
200811,92,16
200812,151,46
200901,334,45
200902,470,107
200903,435,67
200904,150,24
200905,164,27
200906,50,5
200907,35,1
200908,42,5
200909,57,8
200910,98,7
200911,146,11
200912,168,31
201001,75,31
201002,142,9
201003,28,4
201004,189,19
201005,211,19
201006,106,20
201007,104,22
201008,49,14
201009,92,12
201010,171,47
201011,40,25
201012,45,28
201101,75,29
201102,60,13
201103,37,2
201104,26,4
201105,15,6
201106,19,4
201107,5,1
201108,10,3
201109,2,1
201110,7,3
201111,2,1
201112,6,2
201201,7,0
201202,2,0
201203,12,1
201204,4,2
201205,52,4
201206,4,0
201207,4,0
201209,24,1
201210,1,1
201211,3,1
201212,8,1
201301,20,7
201302,7,2
201303,7,1
201304,23,5
201305,81,28
201306,18,1
201307,22,4
201308,39,12
201309,7,2
201310,32,12
201311,16,10
201312,21,8
201401,74,12
201402,135,7
201403,158,23
201404,71,7
201405,23,4
201406,17,3
201407,20,4
201408,17,2
201409,4,0
201410,6,3
201411,5,1
201412,17,9
201501,2,0
201502,11,3
201503,20,2
201504,36,13
201505,12,0
201506,8,2
201507,56,15
201508,29,8
201509,38,7
201510,3,0
201511,37,16
201512,11,3
201601,20,1
201602,27,8
201603,28,8
201604,14,2
201605,5,0
201606,22,2
201607,1,0
201608,11,2
201609,17,3
201610,7,1
201611,19,2
201612,18,1
201701,11,0
201702,2,0
201703,16,0
201704,3,0
201705,11,0
201707,6,0
201708,3,0
201801,1,0
201802,20,3
201803,68,16
201804,24,3
201805,12,3
201806,6,0
201807,12,0
201808,5,1
201809,9,0
201810,16,1
201811,2,0
201902,2,0
201904,7,0
201905,29,1
201906,3,0
201908,3,0
201909,1,0
201910,35,6
201911,1,0
201912,4,0
202002,18,0
202003,7,1
202004,1,0
202005,2,0
202006,14,0
202007,7,0
202008,10,0
202009,3,0
202010,44,6
202011,5,1
202012,12,5
202101,8,2
202102,2,0
202103,34,0
202104,18,0
202105,5,0
202106,7,0
202109,27,4
202110,23,2
202111,2,0
202112,4,1
202201,11,0
202202,6,0
202203,4,0
202204,9,0
202205,1,0
202210,3,2
202211,13,1
202303,3,0
202304,9,1
202305,9,0
202306,2,0
202307,22,4
202309,3,0
202310,19,1
202311,4,0
202312,2,0
202401,7,0
