time,regularCommit,refactoringCommit
200201,8,1
200202,3,0
200206,3,1
200207,21,3
200210,3,0
200211,8,3
200212,10,2
200301,7,0
200302,3,0
200304,4,0
200305,3,1
200307,23,5
200308,8,1
200309,4,1
200310,4,1
200311,49,4
200312,29,12
200401,21,0
200402,34,0
200403,17,3
200404,26,1
200405,3,0
200406,6,2
200407,11,2
200408,5,0
200409,6,1
200410,33,11
200411,6,2
200412,2,1
200501,2,0
200502,11,3
200503,3,0
200504,3,1
200506,7,1
200508,24,2
200509,22,5
200510,18,1
200511,10,0
200512,1,0
200601,14,1
200602,1,0
200603,44,8
200605,2,0
200606,6,2
200607,19,4
200608,9,4
200609,4,1
200610,37,10
200611,8,0
200612,40,6
200701,18,0
200702,12,1
200703,2,2
200705,10,1
200707,12,1
200708,9,0
200710,15,2
200711,6,3
200712,8,1
200801,64,8
200802,19,6
200803,9,4
200804,10,1
200805,8,2
200807,1,0
200808,4,0
200809,1,0
200811,9,1
200812,9,4
200901,3,1
200902,8,3
200904,1,0
200905,3,1
200908,11,6
200910,1,0
201001,17,8
201003,36,10
201004,12,2
201008,8,2
201009,48,12
201010,116,49
201011,4,0
201012,8,2
201101,1,0
201102,1,0
201103,11,3
201104,14,5
201105,6,3
201107,3,1
201108,6,1
201109,30,1
201110,10,1
201111,13,0
201201,9,2
201202,10,1
201203,119,21
201204,45,10
201205,5,2
201206,36,7
201208,15,6
201209,2,1
201210,5,2
201211,28,11
201212,9,3
201301,5,0
201302,16,9
201303,6,0
201304,68,21
201305,21,6
201306,8,2
201307,6,3
201308,1,0
201310,4,2
201311,2,0
201312,1,0
201401,3,1
201402,7,0
201403,1,0
201404,13,4
201405,3,0
201406,2,0
201407,4,0
201408,1,0
201410,12,2
201412,10,3
201501,3,0
201502,4,0
201503,1,0
201504,4,1
201505,13,4
201506,35,9
201508,5,2
201509,4,1
201511,30,3
201512,27,2
201601,3,0
201604,28,2
201605,11,3
201606,12,3
201607,4,0
201608,1,0
201609,8,1
201611,26,4
201612,6,0
201702,1,0
201704,20,1
201705,5,2
201706,1,1
201707,3,0
201708,1,0
201709,39,9
201710,19,1
201711,16,3
201712,1,0
201801,9,5
201802,1,0
201803,20,7
201804,3,0
201805,9,0
201806,15,3
201807,3,1
201810,4,0
201811,3,0
201812,4,0
201902,5,1
201903,2,0
201904,16,2
201905,13,3
201906,2,0
201907,9,1
201908,47,11
201909,12,2
201910,23,9
201911,22,9
201912,17,6
202003,2,0
202004,21,11
202005,32,7
202006,7,1
202007,59,13
202008,138,32
202009,60,9
202010,76,27
202011,10,2
202012,48,10
202101,145,49
202102,39,15
202103,11,0
202104,3,0
202105,67,19
202106,29,1
202107,88,23
202108,29,1
202109,173,49
202110,36,7
202111,37,10
202112,23,2
202201,26,6
202202,29,9
202203,25,1
202204,34,15
202205,15,3
202206,112,28
202207,95,27
202208,39,7
202209,54,10
202210,17,1
202211,12,0
202212,18,0
202301,25,4
202302,12,0
202303,13,0
202304,47,18
202305,145,34
202306,70,15
202307,26,6
202308,10,1
202309,34,2
202310,109,26
202311,64,13
202312,109,27
202401,95,24
202402,34,4
202403,18,2
