time,regularCommit,time,refactoringCommit
201502,23,201502,7
201503,38,201503,13
201504,23,201504,5
201505,2,201505,0
201506,12,201506,4
201507,13,201507,9
201508,3,201508,0
201509,2,201509,0
201510,18,201510,7
201511,32,201511,14
201512,14,201512,4
201601,20,201601,7
201602,40,201602,21
201603,26,201603,10
201604,10,201604,4
201605,5,201605,0
201606,33,201606,19
201607,23,201607,14
201608,7,201608,5
201609,15,201609,4
201610,20,201610,8
201611,25,201611,12
201612,24,201612,18
201701,38,201701,22
201702,73,201702,31
201703,37,201703,14
201704,38,201704,11
201705,1,201705,0
201706,16,201706,2
201707,9,201707,3
201708,5,201708,5
201709,31,201709,14
201710,8,201710,4
201711,30,201711,8
201712,4,201712,1
201801,25,201801,13
201802,10,201802,6
201803,12,201803,5
201804,11,201804,1
201805,8,201805,2
201806,24,201806,9
201807,12,201807,3
201808,14,201808,8
201809,5,201809,0
201810,1,201810,1
201811,18,201811,10
201812,7,201812,2
201901,1,201901,0
201902,11,201902,5
201903,5,201903,3
201904,18,201904,6
201905,5,201905,3
201906,10,201906,2
201907,29,201907,21
201908,13,201908,9
201909,3,201909,0
201910,15,201910,12
201911,23,201911,12
201912,5,201912,0
202001,28,202001,15
202002,63,202002,27
202003,26,202003,8
202004,46,202004,19
202005,17,202005,8
202006,24,202006,12
202007,18,202007,6
202008,11,202008,7
202009,39,202009,20
202010,18,202010,7
202011,62,202011,30
202012,22,202012,8
202101,5,202101,1
202102,6,202102,2
202103,38,202103,18
202104,22,202104,8
202105,12,202105,0
202106,76,202106,19
202107,8,202107,1
202108,35,202108,15
202109,36,202109,14
202110,39,202110,10
202111,31,202111,6
202112,39,202112,8
202201,14,202201,3
202202,7,202202,1
202203,4,202203,1
202204,18,202204,1
202205,5,202205,0
202206,13,202206,6
202207,41,202207,5
202208,10,202208,0
202209,6,202209,0
202210,9,202210,4
202211,21,202211,2
202212,8,202212,5
202301,17,202301,11
202302,3,202302,1
202303,19,202303,4
202304,3,202304,0
202305,12,202305,1
202306,7,202306,4
202307,21,202307,7
202308,17,202308,1
202309,10,202309,4
202310,29,202310,8
202311,50,202311,13
202312,9,202312,3
202401,21,202401,5
202402,9,202402,2
202403,1,202403,0
