time,refact,number
2013,Add Method Annotation,99
2013,Merge Attribute,7
2013,Localize Parameter,13
2013,Move And Rename Method,9
2013,Extract Subclass,2
2013,Remove Parameter Modifier,2
2013,Move Source Folder,14
2013,Pull Up Attribute,9
2013,Move Attribute,44
2013,Replace Attribute With Variable,6
2013,Move Class,194
2013,Move And Rename Class,6
2013,Extract Variable,68
2013,Split Attribute,5
2013,Inline Variable,15
2013,Rename Method,161
2013,Split Package,1
2013,Reorder Parameter,3
2013,Change Method Access Modifier,47
2013,Remove Parameter Annotation,12
2013,Replace Variable With Attribute,11
2013,Extract And Move Method,22
2013,Rename Package,8
2013,Add Parameter Modifier,1
2013,Push Down Attribute,5
2013,Remove Method Annotation,46
2013,Merge Parameter,12
2013,Remove Method Modifier,12
2013,Encapsulate Attribute,28
2013,Move And Rename Attribute,3
2013,Change Variable Type,282
2013,Add Thrown Exception Type,41
2013,Parameterize Attribute,2
2013,Push Down Method,7
2013,Add Variable Modifier,6
2013,Add Parameter,296
2013,Rename Variable,100
2013,Inline Method,7
2013,Add Attribute Modifier,61
2013,Merge Package,2
2013,Add Attribute Annotation,16
2013,Rename Attribute,198
2013,Extract Superclass,2
2013,Change Type Declaration Kind,3
2013,Change Class Access Modifier,9
2013,Modify Method Annotation,47
2013,Move Package,1
2013,Add Parameter Annotation,1
2013,Change Parameter Type,284
2013,Remove Class Modifier,2
2013,Rename Class,36
2013,Remove Variable Modifier,1
2013,Remove Parameter,163
2013,Merge Variable,1
2013,Change Thrown Exception Type,54
2013,Add Class Annotation,15
2013,Change Attribute Access Modifier,79
2013,Parameterize Variable,9
2013,Remove Attribute Modifier,30
2013,Modify Class Annotation,1
2013,Add Class Modifier,6
2013,Add Variable Annotation,2
2013,Split Class,1
2013,Move And Inline Method,2
2013,Move Method,108
2013,Add Method Modifier,28
2013,Extract Class,9
2013,Split Parameter,9
2013,Extract Method,76
2013,Pull Up Method,1
2013,Inline Attribute,2
2013,Change Return Type,152
2013,Remove Attribute Annotation,2
2013,Merge Class,1
2013,Remove Thrown Exception Type,33
2013,Remove Class Annotation,3
2013,Change Attribute Type,163
2013,Remove Variable Annotation,3
2013,Rename Parameter,153
2014,Add Method Annotation,159
2014,Merge Attribute,1
2014,Localize Parameter,8
2014,Move And Rename Method,26
2014,Move Source Folder,10
2014,Pull Up Attribute,31
2014,Move Attribute,103
2014,Move Class,76
2014,Move And Rename Class,26
2014,Replace Attribute With Variable,7
2014,Extract Variable,89
2014,Inline Variable,30
2014,Split Attribute,2
2014,Rename Method,210
2014,Reorder Parameter,7
2014,Split Package,1
2014,Change Method Access Modifier,154
2014,Remove Parameter Annotation,3
2014,Replace Variable With Attribute,10
2014,Extract And Move Method,570
2014,Rename Package,2
2014,Push Down Attribute,3
2014,Add Parameter Modifier,2
2014,Remove Method Annotation,79
2014,Merge Parameter,8
2014,Encapsulate Attribute,83
2014,Remove Method Modifier,19
2014,Move And Rename Attribute,12
2014,Change Variable Type,731
2014,Split Variable,1
2014,Add Thrown Exception Type,134
2014,Parameterize Attribute,5
2014,Add Variable Modifier,13
2014,Add Parameter,439
2014,Rename Variable,150
2014,Inline Method,6
2014,Add Attribute Modifier,161
2014,Add Attribute Annotation,74
2014,Extract Superclass,12
2014,Rename Attribute,199
2014,Change Class Access Modifier,18
2014,Change Type Declaration Kind,15
2014,Modify Method Annotation,379
2014,Add Parameter Annotation,41
2014,Move Package,4
2014,Change Parameter Type,360
2014,Remove Class Modifier,4
2014,Rename Class,103
2014,Extract Attribute,10
2014,Remove Variable Modifier,3
2014,Remove Parameter,184
2014,Merge Variable,7
2014,Change Thrown Exception Type,6
2014,Add Class Annotation,248
2014,Change Attribute Access Modifier,156
2014,Parameterize Variable,20
2014,Remove Attribute Modifier,90
2014,Add Class Modifier,4
2014,Move And Inline Method,33
2014,Move Method,139
2014,Add Method Modifier,103
2014,Extract Class,21
2014,Split Parameter,5
2014,Extract Method,110
2014,Pull Up Method,33
2014,Inline Attribute,1
2014,Change Return Type,312
2014,Remove Attribute Annotation,11
2014,Remove Thrown Exception Type,11
2014,Extract Interface,6
2014,Change Attribute Type,238
2014,Remove Class Annotation,40
2014,Rename Parameter,157
2015,Add Method Annotation,154
2015,Merge Attribute,6
2015,Localize Parameter,7
2015,Move And Rename Method,12
2015,Remove Parameter Modifier,1
2015,Move Source Folder,6
2015,Pull Up Attribute,16
2015,Move Attribute,60
2015,Move And Rename Class,10
2015,Move Class,12
2015,Replace Attribute With Variable,1
2015,Extract Variable,76
2015,Inline Variable,26
2015,Split Attribute,3
2015,Rename Method,140
2015,Change Method Access Modifier,86
2015,Remove Parameter Annotation,1
2015,Replace Variable With Attribute,10
2015,Extract And Move Method,25
2015,Add Parameter Modifier,6
2015,Remove Method Annotation,89
2015,Merge Parameter,14
2015,Encapsulate Attribute,15
2015,Remove Method Modifier,22
2015,Change Variable Type,252
2015,Add Thrown Exception Type,149
2015,Parameterize Attribute,11
2015,Add Variable Modifier,11
2015,Add Parameter,370
2015,Rename Variable,111
2015,Inline Method,7
2015,Add Attribute Modifier,114
2015,Add Attribute Annotation,298
2015,Rename Attribute,87
2015,Extract Superclass,9
2015,Change Type Declaration Kind,1
2015,Change Class Access Modifier,17
2015,Modify Method Annotation,17
2015,Change Parameter Type,141
2015,Remove Class Modifier,5
2015,Rename Class,27
2015,Extract Attribute,2
2015,Remove Variable Modifier,1
2015,Remove Parameter,93
2015,Change Thrown Exception Type,45
2015,Add Class Annotation,36
2015,Change Attribute Access Modifier,91
2015,Parameterize Variable,15
2015,Remove Attribute Modifier,18
2015,Modify Class Annotation,1
2015,Add Class Modifier,30
2015,Add Variable Annotation,12
2015,Move And Inline Method,2
2015,Move Method,51
2015,Add Method Modifier,37
2015,Extract Class,11
2015,Split Parameter,3
2015,Extract Method,122
2015,Pull Up Method,11
2015,Change Return Type,67
2015,Remove Thrown Exception Type,28
2015,Extract Interface,3
2015,Remove Class Annotation,8
2015,Change Attribute Type,320
2015,Rename Parameter,105
2016,Add Method Annotation,27
2016,Merge Attribute,1
2016,Localize Parameter,5
2016,Move And Rename Method,2
2016,Extract Subclass,1
2016,Move Source Folder,1
2016,Pull Up Attribute,16
2016,Move Attribute,18
2016,Move Class,7
2016,Replace Attribute With Variable,1
2016,Extract Variable,36
2016,Split Attribute,1
2016,Rename Method,22
2016,Reorder Parameter,1
2016,Change Method Access Modifier,19
2016,Remove Parameter Annotation,2
2016,Replace Variable With Attribute,6
2016,Extract And Move Method,6
2016,Add Parameter Modifier,3
2016,Push Down Attribute,11
2016,Remove Method Annotation,16
2016,Move And Rename Attribute,1
2016,Encapsulate Attribute,9
2016,Remove Method Modifier,5
2016,Change Variable Type,101
2016,Add Thrown Exception Type,52
2016,Push Down Method,9
2016,Add Variable Modifier,1
2016,Add Parameter,146
2016,Rename Variable,33
2016,Inline Method,3
2016,Add Attribute Modifier,18
2016,Add Attribute Annotation,15
2016,Rename Attribute,29
2016,Extract Superclass,5
2016,Change Class Access Modifier,2
2016,Modify Method Annotation,8
2016,Change Parameter Type,28
2016,Remove Class Modifier,1
2016,Remove Variable Modifier,4
2016,Extract Attribute,1
2016,Remove Parameter,30
2016,Merge Variable,5
2016,Change Thrown Exception Type,14
2016,Add Class Annotation,4
2016,Change Attribute Access Modifier,21
2016,Parameterize Variable,8
2016,Remove Attribute Modifier,8
2016,Modify Class Annotation,1
2016,Add Class Modifier,1
2016,Modify Attribute Annotation,7
2016,Move Method,12
2016,Add Method Modifier,6
2016,Extract Class,5
2016,Extract Method,54
2016,Pull Up Method,22
2016,Change Return Type,33
2016,Remove Thrown Exception Type,4
2016,Extract Interface,2
2016,Change Attribute Type,48
2016,Remove Class Annotation,1
2016,Rename Parameter,37
2017,Add Method Annotation,22
2017,Localize Parameter,2
2017,Move And Rename Method,8
2017,Extract Subclass,2
2017,Move Source Folder,1
2017,Move Attribute,9
2017,Replace Attribute With Variable,5
2017,Extract Variable,61
2017,Inline Variable,4
2017,Rename Method,24
2017,Change Method Access Modifier,8
2017,Extract And Move Method,5
2017,Push Down Attribute,4
2017,Add Parameter Modifier,1
2017,Remove Method Annotation,6
2017,Encapsulate Attribute,4
2017,Remove Method Modifier,6
2017,Move And Rename Attribute,1
2017,Change Variable Type,34
2017,Split Variable,1
2017,Add Thrown Exception Type,6
2017,Parameterize Attribute,2
2017,Push Down Method,12
2017,Add Variable Modifier,4
2017,Add Parameter,67
2017,Rename Variable,39
2017,Add Attribute Modifier,18
2017,Add Attribute Annotation,2
2017,Rename Attribute,25
2017,Extract Superclass,1
2017,Change Class Access Modifier,2
2017,Modify Method Annotation,11
2017,Change Parameter Type,31
2017,Remove Class Modifier,1
2017,Extract Attribute,2
2017,Rename Class,4
2017,Remove Parameter,30
2017,Add Class Annotation,1
2017,Change Attribute Access Modifier,25
2017,Parameterize Variable,4
2017,Remove Attribute Modifier,8
2017,Add Class Modifier,1
2017,Move Method,17
2017,Add Method Modifier,3
2017,Split Parameter,1
2017,Extract Method,30
2017,Change Return Type,11
2017,Remove Thrown Exception Type,4
2017,Change Attribute Type,24
2017,Rename Parameter,28
2018,Add Method Annotation,2
2018,Modify Method Annotation,5
2018,Localize Parameter,1
2018,Change Parameter Type,161
2018,Move Attribute,1
2018,Replace Attribute With Variable,2
2018,Remove Parameter,6
2018,Extract Variable,29
2018,Inline Variable,3
2018,Rename Method,7
2018,Add Class Annotation,1
2018,Change Attribute Access Modifier,3
2018,Change Method Access Modifier,2
2018,Replace Variable With Attribute,2
2018,Remove Attribute Modifier,1
2018,Extract And Move Method,4
2018,Move Method,3
2018,Add Method Modifier,3
2018,Add Parameter Modifier,8
2018,Push Down Attribute,1
2018,Encapsulate Attribute,1
2018,Change Variable Type,29
2018,Extract Method,22
2018,Add Thrown Exception Type,1
2018,Parameterize Attribute,1
2018,Push Down Method,1
2018,Pull Up Method,1
2018,Add Parameter,17
2018,Rename Variable,11
2018,Change Return Type,9
2018,Add Attribute Modifier,4
2018,Add Attribute Annotation,1
2018,Rename Attribute,2
2018,Extract Superclass,1
2018,Change Class Access Modifier,2
2018,Change Attribute Type,13
2018,Rename Parameter,11
2019,Add Method Annotation,1
2019,Modify Method Annotation,4
2019,Localize Parameter,1
2019,Change Parameter Type,1
2019,Remove Parameter,2
2019,Extract Variable,10
2019,Inline Variable,3
2019,Rename Method,3
2019,Add Class Annotation,2
2019,Change Attribute Access Modifier,8
2019,Change Method Access Modifier,2
2019,Remove Attribute Modifier,2
2019,Extract And Move Method,1
2019,Remove Method Annotation,1
2019,Encapsulate Attribute,5
2019,Change Variable Type,3
2019,Extract Method,17
2019,Add Thrown Exception Type,1
2019,Add Parameter,5
2019,Rename Variable,22
2019,Inline Method,6
2019,Add Attribute Modifier,4
2019,Change Return Type,2
2019,Remove Attribute Annotation,1
2019,Add Attribute Annotation,1
2019,Rename Attribute,5
2019,Remove Class Annotation,1
2019,Change Attribute Type,1
2019,Rename Parameter,2
2020,Add Method Annotation,8
2020,Merge Attribute,3
2020,Localize Parameter,2
2020,Move And Rename Method,4
2020,Extract Variable,12
2020,Inline Variable,9
2020,Rename Method,4
2020,Change Method Access Modifier,10
2020,Replace Variable With Attribute,1
2020,Extract And Move Method,11
2020,Replace Anonymous With Lambda,1
2020,Add Parameter Modifier,10
2020,Remove Method Annotation,5
2020,Merge Parameter,9
2020,Encapsulate Attribute,1
2020,Remove Method Modifier,3
2020,Change Variable Type,23
2020,Add Thrown Exception Type,8
2020,Add Variable Modifier,4
2020,Add Parameter,39
2020,Rename Variable,10
2020,Inline Method,2
2020,Add Attribute Modifier,4
2020,Add Attribute Annotation,4
2020,Rename Attribute,5
2020,Change Class Access Modifier,1
2020,Modify Method Annotation,7
2020,Change Parameter Type,12
2020,Extract Attribute,1
2020,Remove Variable Modifier,2
2020,Remove Parameter,17
2020,Change Thrown Exception Type,3
2020,Merge Variable,2
2020,Add Class Annotation,1
2020,Change Attribute Access Modifier,9
2020,Parameterize Variable,10
2020,Remove Attribute Modifier,3
2020,Modify Class Annotation,1
2020,Add Variable Annotation,1
2020,Move Method,1
2020,Add Method Modifier,1
2020,Extract Class,2
2020,Extract Method,24
2020,Pull Up Method,1
