time,refact,number
2016,Add Method Annotation,961
2016,Merge Attribute,8
2016,Localize Parameter,53
2016,Move And Rename Method,27
2016,Remove Parameter Modifier,317
2016,Extract Subclass,31
2016,Move Source Folder,23
2016,Pull Up Attribute,139
2016,Move Attribute,152
2016,Move Class,361
2016,Move And Rename Class,139
2016,Replace Attribute With Variable,14
2016,Extract Variable,58
2016,Inline Variable,46
2016,Split Attribute,2
2016,Rename Method,320
2016,Modify Parameter Annotation,150
2016,Split Package,5
2016,Reorder Parameter,4
2016,Change Method Access Modifier,306
2016,Remove Parameter Annotation,471
2016,Replace Variable With Attribute,21
2016,Extract And Move Method,129
2016,Replace Anonymous With Lambda,93
2016,Rename Package,7
2016,Add Parameter Modifier,399
2016,Push Down Attribute,162
2016,Remove Method Annotation,969
2016,Merge Parameter,5
2016,Encapsulate Attribute,35
2016,Move And Rename Attribute,52
2016,Remove Method Modifier,26
2016,Change Variable Type,717
2016,Replace Loop With Pipeline,3
2016,Add Thrown Exception Type,20
2016,Parameterize Attribute,1
2016,Push Down Method,406
2016,Add Variable Modifier,434
2016,Add Parameter,336
2016,Rename Variable,111
2016,Inline Method,44
2016,Add Attribute Modifier,671
2016,Merge Package,3
2016,Add Attribute Annotation,104
2016,Rename Attribute,150
2016,Extract Superclass,25
2016,Change Type Declaration Kind,36
2016,Change Class Access Modifier,16
2016,Modify Method Annotation,492
2016,Add Parameter Annotation,298
2016,Move Package,9
2016,Change Parameter Type,608
2016,Remove Class Modifier,10
2016,Extract Attribute,37
2016,Rename Class,93
2016,Remove Variable Modifier,50
2016,Remove Parameter,221
2016,Merge Variable,4
2016,Add Class Annotation,332
2016,Change Attribute Access Modifier,230
2016,Parameterize Variable,22
2016,Remove Attribute Modifier,239
2016,Modify Class Annotation,200
2016,Add Class Modifier,29
2016,Add Variable Annotation,30
2016,Split Class,2
2016,Move And Inline Method,20
2016,Modify Attribute Annotation,43
2016,Move Method,297
2016,Add Method Modifier,142
2016,Extract Class,58
2016,Split Parameter,3
2016,Extract Method,273
2016,Replace Attribute,17
2016,Pull Up Method,148
2016,Remove Attribute Annotation,605
2016,Change Return Type,766
2016,Remove Thrown Exception Type,26
2016,Merge Class,1
2016,Extract Interface,21
2016,Remove Class Annotation,591
2016,Change Attribute Type,252
2016,Remove Variable Annotation,12
2016,Rename Parameter,314
2017,Add Method Annotation,147
2017,Localize Parameter,17
2017,Move And Rename Method,41
2017,Remove Parameter Modifier,223
2017,Extract Subclass,1
2017,Collapse Hierarchy,1
2017,Move Source Folder,8
2017,Pull Up Attribute,28
2017,Move Attribute,43
2017,Move Class,20
2017,Move And Rename Class,4
2017,Replace Attribute With Variable,1
2017,Extract Variable,44
2017,Split Attribute,4
2017,Inline Variable,33
2017,Rename Method,344
2017,Modify Parameter Annotation,1
2017,Reorder Parameter,32
2017,Change Method Access Modifier,242
2017,Remove Parameter Annotation,48
2017,Replace Variable With Attribute,4
2017,Extract And Move Method,4
2017,Add Parameter Modifier,52
2017,Push Down Attribute,2
2017,Remove Method Annotation,154
2017,Encapsulate Attribute,13
2017,Remove Method Modifier,9
2017,Change Variable Type,280
2017,Replace Loop With Pipeline,13
2017,Add Thrown Exception Type,4
2017,Push Down Method,14
2017,Add Variable Modifier,193
2017,Add Parameter,290
2017,Rename Variable,57
2017,Inline Method,11
2017,Add Attribute Modifier,80
2017,Add Attribute Annotation,46
2017,Rename Attribute,68
2017,Extract Superclass,9
2017,Change Class Access Modifier,6
2017,Change Type Declaration Kind,2
2017,Modify Method Annotation,259
2017,Add Parameter Annotation,144
2017,Move Package,2
2017,Change Parameter Type,438
2017,Rename Class,37
2017,Remove Variable Modifier,14
2017,Remove Parameter,95
2017,Merge Variable,2
2017,Add Class Annotation,30
2017,Change Attribute Access Modifier,32
2017,Parameterize Variable,6
2017,Remove Attribute Modifier,18
2017,Modify Class Annotation,62
2017,Add Class Modifier,4
2017,Add Variable Annotation,7
2017,Split Class,3
2017,Move And Inline Method,6
2017,Modify Attribute Annotation,96
2017,Move Method,152
2017,Add Method Modifier,32
2017,Extract Class,9
2017,Split Parameter,7
2017,Extract Method,53
2017,Pull Up Method,124
2017,Remove Attribute Annotation,79
2017,Change Return Type,311
2017,Merge Class,2
2017,Remove Thrown Exception Type,17
2017,Change Attribute Type,169
2017,Remove Class Annotation,18
2017,Remove Variable Annotation,11
2017,Rename Parameter,197
2018,Add Method Annotation,23
2018,Localize Parameter,4
2018,Move And Rename Method,1
2018,Remove Parameter Modifier,36
2018,Extract Subclass,2
2018,Move Source Folder,6
2018,Pull Up Attribute,10
2018,Move Attribute,39
2018,Move Class,35
2018,Replace Attribute With Variable,3
2018,Move And Rename Class,4
2018,Extract Variable,19
2018,Inline Variable,13
2018,Rename Method,70
2018,Modify Parameter Annotation,29
2018,Reorder Parameter,4
2018,Change Method Access Modifier,58
2018,Remove Parameter Annotation,109
2018,Replace Variable With Attribute,1
2018,Extract And Move Method,24
2018,Replace Anonymous With Lambda,1
2018,Rename Package,2
2018,Add Parameter Modifier,57
2018,Push Down Attribute,1
2018,Remove Method Annotation,10
2018,Merge Parameter,1
2018,Encapsulate Attribute,46
2018,Remove Method Modifier,3
2018,Change Variable Type,29
2018,Add Thrown Exception Type,3
2018,Push Down Method,7
2018,Add Variable Modifier,61
2018,Add Parameter,176
2018,Rename Variable,37
2018,Inline Method,13
2018,Add Attribute Modifier,67
2018,Add Attribute Annotation,35
2018,Rename Attribute,24
2018,Extract Superclass,5
2018,Change Class Access Modifier,2
2018,Modify Method Annotation,74
2018,Add Parameter Annotation,23
2018,Change Parameter Type,249
2018,Remove Class Modifier,2
2018,Remove Variable Modifier,2
2018,Rename Class,17
2018,Remove Parameter,49
2018,Merge Variable,1
2018,Add Class Annotation,222
2018,Change Attribute Access Modifier,44
2018,Parameterize Variable,23
2018,Remove Attribute Modifier,4
2018,Modify Class Annotation,4
2018,Add Class Modifier,6
2018,Move And Inline Method,4
2018,Modify Attribute Annotation,14
2018,Move Method,19
2018,Add Method Modifier,20
2018,Extract Class,9
2018,Split Parameter,1
2018,Extract Method,90
2018,Pull Up Method,6
2018,Change Return Type,41
2018,Remove Attribute Annotation,45
2018,Remove Thrown Exception Type,4
2018,Extract Interface,3
2018,Remove Class Annotation,219
2018,Change Attribute Type,20
2018,Rename Parameter,58
2019,Add Method Annotation,155
2019,Merge Attribute,3
2019,Localize Parameter,3
2019,Move And Rename Method,7
2019,Remove Parameter Modifier,3
2019,Extract Subclass,1
2019,Pull Up Attribute,4
2019,Move Attribute,8
2019,Move Class,2
2019,Extract Variable,22
2019,Inline Variable,9
2019,Rename Method,67
2019,Change Method Access Modifier,38
