time,regularCommit,refactoringCommit
201109,4,0
201110,20,8
201112,3,0
201201,8,3
201202,11,0
201203,1,1
201204,3,1
201205,1,0
201206,1,0
201208,5,0
201209,2,0
201210,17,1
201212,7,0
201301,17,4
201302,2,0
201303,21,2
201304,1,0
201306,15,3
201307,59,0
201308,19,0
201309,12,0
201310,26,5
201311,15,0
201312,21,0
201401,16,2
201402,2,1
201403,6,2
201404,8,3
201405,16,0
201407,3,0
201408,4,1
201409,1,0
201411,13,0
201505,3,0
201506,2,0
201508,5,2
201510,1,0
201511,6,0
201512,5,0
201602,4,1
201603,1,1
201606,1,0
201607,10,0
201608,2,0
201610,2,0
201702,4,0
201707,1,1
201708,3,0
201709,2,0
201710,1,0
201711,4,0
201801,16,1
201802,1,0
201803,8,0
201807,6,0
201810,1,0
201901,6,1
201906,2,0
201907,1,0
201910,3,0
202001,1,0
202002,1,1
202003,3,0
202004,3,1
202012,1,0
202101,1,0
202110,7,0
202111,2,0
202203,1,22
202204,1,5
202205,3,0
202207,4,4
202208,2,5
202209,1,0
202210,3,0
202211,2,0
202212,1,0
202301,5,1
202306,1,0
202307,2,1
202308,1,0
202310,1,0
202312,2,0
202401,4,1
202402,4,0
