time,regularCommit,refactoringCommit
200204,26,4
200205,4,1
200206,1,0
200207,4,0
200208,8,3
200209,10,1
200210,6,0
200211,2,1
200301,9,1
200302,7,0
200303,14,0
200304,11,2
200305,5,1
200306,3,0
200307,6,0
200308,8,1
200309,2,0
200310,7,0
200312,6,1
200401,38,11
200402,5,1
200403,11,0
200404,19,2
200405,11,0
200406,9,0
200407,3,0
200408,3,0
200409,21,1
200410,2,0
200411,6,0
200412,10,1
200501,10,2
200502,9,2
200503,2,0
200504,22,2
200505,12,0
200506,4,0
200507,1,0
200510,1,0
200511,2,0
200512,5,0
200601,10,1
200602,2,0
200603,1,0
200604,4,0
200605,1,0
200608,45,17
200609,15,1
200611,18,1
200612,14,2
200701,10,0
200706,1,0
200707,11,0
200708,4,0
200711,2,0
200801,4,0
200802,42,10
200803,84,18
200804,30,9
200805,26,3
200806,4,0
200807,4,0
200808,8,1
200809,3,0
200810,5,1
200811,1,0
200902,17,5
200903,10,1
200904,17,8
200905,5,1
200906,7,0
200907,2,0
200909,3,0
200910,1,0
200911,1,0
201001,11,6
201003,116,9
201004,17,3
201005,13,2
201007,35,8
201009,13,4
201010,10,2
201011,16,2
201102,39,6
201103,280,65
201104,71,10
201105,16,0
201106,10,1
201107,1,0
201108,2,1
201111,14,4
201112,1,0
201201,42,4
201202,22,2
201203,27,6
201204,2,0
201205,11,0
201206,1,0
201207,14,0
201208,9,1
201209,3,1
201210,13,2
201211,19,2
201212,10,3
201301,18,4
201302,14,0
201303,2,0
201304,1,0
201306,36,2
201307,3,1
201309,2,1
201310,1,0
201312,12,3
201401,10,3
201402,9,1
201403,13,1
201404,33,8
201405,7,1
201406,1,0
201407,7,1
201408,10,0
201409,1,0
201410,2,1
201411,6,3
201412,51,15
201501,50,9
201502,4,0
201505,1,0
201506,9,1
201507,1,0
201508,24,1
201510,2,1
201511,7,0
201512,1,0
201601,6,2
201604,25,5
201605,13,0
201606,7,1
201607,7,1
201608,1,0
201610,3,1
201611,2,0
201702,31,8
201703,42,5
201704,4,1
201705,1,0
201706,1,0
201707,4,0
201708,2,0
201710,2,0
201801,5,0
201802,4,0
201805,1,0
201806,2,0
201808,3,0
201810,4,1
201812,1,1
201903,1,0
201905,9,2
201906,1,0
201907,8,0
201908,4,0
201909,3,0
201911,2,1
202002,1,0
202003,1,0
202004,1,0
202005,4,0
202006,38,4
202007,12,0
202008,16,0
202009,38,11
202010,28,4
202011,15,4
202012,23,5
202101,10,2
202102,85,21
202103,3,0
202104,1,0
202105,2,0
202107,29,4
202108,18,2
202109,2,0
202110,3,1
202111,2,0
202112,5,1
202201,9,1
202202,5,0
202203,11,1
202204,10,0
202205,9,0
202206,4,0
202207,7,1
202208,24,1
202209,11,0
202210,18,3
202211,47,9
202212,20,0
202301,19,2
202302,6,0
202303,11,0
202304,3,0
202305,6,0
202306,50,10
202307,72,18
202308,19,8
202309,73,12
202310,35,2
202311,24,4
202312,24,1
202401,27,2
202402,45,16
202403,12,0
