time,regularCommit,time,refactoringCommit
201308,19,201308,2
201309,7,201309,0
201310,18,201310,2
201311,6,201311,0
201312,15,201312,2
201401,19,201401,1
201402,18,201402,4
201403,39,201403,0
201404,24,201404,0
201405,15,201405,0
201406,32,201406,0
201407,22,201407,3
201408,32,201408,0
201409,14,201409,0
201410,11,201410,1
201411,15,201411,0
201412,9,201412,1
201501,16,201501,0
201502,19,201502,5
201503,30,201503,2
201504,17,201504,1
201505,9,201505,1
201506,17,201506,1
201507,20,201507,7
201508,16,201508,2
201509,12,201509,1
201510,12,201510,4
201511,21,201511,4
201512,8,201512,0
201601,3,201601,0
201602,9,201602,2
201603,11,201603,2
201604,18,201604,4
201605,10,201605,3
201606,16,201606,2
201607,9,201607,2
201608,13,201608,1
201609,22,201609,2
201610,11,201610,3
201611,8,201611,2
201612,13,201612,2
201701,9,201701,3
201702,21,201702,4
201703,32,201703,23
201704,44,201704,22
201705,57,201705,22
201706,30,201706,13
201707,13,201707,8
201708,31,201708,10
201709,12,201709,10
201710,40,201710,11
201711,27,201711,9
201712,21,201712,8
201801,23,201801,9
201802,12,201802,3
201803,28,201803,16
201804,29,201804,16
201805,39,201805,17
201806,26,201806,9
201807,21,201807,8
201808,27,201808,12
201809,38,201809,16
201810,149,201810,30
201811,40,201811,18
201812,34,201812,16
201901,32,201901,12
201902,37,201902,20
201903,49,201903,19
201904,26,201904,9
201905,40,201905,22
201906,41,201906,14
201907,19,201907,11
201908,25,201908,13
201909,21,201909,14
201910,42,201910,20
201911,20,201911,7
201912,14,201912,3
202001,31,202001,12
202002,23,202002,10
202003,54,202003,18
202004,14,202004,7
202005,13,202005,4
202006,27,202006,12
202007,6,202007,5
202008,20,202008,11
202009,11,202009,6
202010,4,202010,1
202011,19,202011,3
202012,8,202012,5
202101,5,202101,1
202102,9,202102,1
202103,18,202103,6
202104,7,202104,3
202105,10,202105,4
202106,2,202106,1
202107,2,202107,2
202108,24,202108,7
202109,10,202109,3
202110,10,202110,4
202111,10,202111,3
202112,14,202112,7
202201,5,202201,1
202202,15,202202,10
202203,7,202203,0
202204,13,202204,1
202205,12,202205,3
202206,5,202206,3
202207,3,202207,2
202208,3,202208,1
202209,3,202209,1
202210,2,202210,0
202211,9,202211,6
202212,2,202212,0
202301,9,202301,2
202302,13,202302,2
202303,6,202303,3
202304,1,202304,0
202305,1,202305,0
202306,9,202306,7
202307,4,202307,0
202308,7,202308,6
202309,1,202309,1
202311,5,202311,2
202312,1,202312,0
202401,2,202401,0
