time,regularCommit,time,refactoringCommit
201109,47,201109,5
201110,55,201110,14
201111,48,201111,8
201112,93,201112,21
201201,190,201201,46
201202,61,201202,9
201203,90,201203,19
201204,99,201204,15
201205,193,201205,28
201206,79,201206,18
201207,79,201207,8
201208,112,201208,24
201209,50,201209,6
201210,99,201210,18
201211,43,201211,8
201212,40,201212,10
201301,27,201301,5
201302,76,201302,11
201303,37,201303,7
201304,14,201304,4
201305,52,201305,16
201306,31,201306,1
201307,23,201307,3
201308,51,201308,5
201309,14,201309,0
201310,25,201310,4
201311,15,201311,1
201312,47,201312,3
201401,58,201401,8
201402,58,201402,7
201403,44,201403,5
201404,100,201404,9
201405,111,201405,20
201406,147,201406,13
201407,145,201407,18
201408,103,201408,5
201409,68,201409,9
201410,83,201410,10
201411,73,201411,5
201412,129,201412,20
201501,102,201501,10
201502,107,201502,13
201503,222,201503,49
201504,147,201504,21
201505,65,201505,11
201506,79,201506,4
201507,104,201507,12
201508,129,201508,27
201509,116,201509,11
201510,161,201510,30
201511,219,201511,40
201512,180,201512,42
201601,261,201601,59
201602,225,201602,57
201603,234,201603,56
201604,73,201604,13
201605,75,201605,9
201606,84,201606,10
201607,108,201607,15
201608,88,201608,13
201609,107,201609,16
201610,66,201610,10
201611,69,201611,18
201612,73,201612,21
201701,89,201701,26
201702,71,201702,14
201703,62,201703,15
201704,84,201704,19
201705,82,201705,20
201706,55,201706,12
201707,108,201707,30
201708,66,201708,24
201709,48,201709,21
201710,33,201710,19
201711,35,201711,17
201712,23,201712,14
201801,34,201801,12
201802,39,201802,19
201803,25,201803,15
201804,55,201804,19
201805,36,201805,17
201806,68,201806,24
201807,33,201807,14
201808,32,201808,18
201809,53,201809,17
201810,58,201810,10
201811,17,201811,7
201812,14,201812,7
201901,16,201901,4
201902,25,201902,9
201903,22,201903,6
201904,17,201904,4
201905,13,201905,5
201906,26,201906,12
201907,45,201907,27
201908,23,201908,9
201909,10,201909,6
201910,19,201910,8
201911,16,201911,7
201912,7,201912,5
202001,16,202001,3
202002,11,202002,2
202003,15,202003,8
202004,20,202004,10
202005,12,202005,4
202006,19,202006,11
202007,14,202007,5
202008,7,202008,4
202009,11,202009,3
202010,5,202010,3
202011,6,202011,1
202012,11,202012,4
202101,8,202101,5
202102,6,202102,3
202103,8,202103,1
202104,3,202104,3
202105,2,202105,1
202106,2,202106,2
202107,4,202107,1
202108,4,202108,1
202109,7,202109,2
202110,4,202110,2
202111,3,202111,0
202112,2,202112,0
202201,3,202201,0
202202,9,202202,0
202203,13,202203,1
202204,12,202204,2
202205,8,202205,0
202206,4,202206,1
202207,4,202207,0
202210,1,202210,0
202212,4,202212,0
202301,2,202301,0
202303,13,202303,1
202304,6,202304,1
202305,4,202305,0
202306,16,202306,4
202307,36,202307,0
202308,49,202308,8
202309,7,202309,2
202310,27,202310,2
202311,20,202311,0
202312,26,202312,8
202401,14,202401,4
202402,6,202402,0
