time,regularCommit,time,refactoringCommit
201109,373,201109,108
201110,29,201110,4
201111,17,201111,5
201112,19,201112,6
201201,9,201201,3
201202,31,201202,8
201203,57,201203,19
201204,18,201204,5
201205,33,201205,9
201206,32,201206,7
201207,29,201207,7
201208,61,201208,18
201209,25,201209,8
201210,35,201210,2
201211,25,201211,7
201212,31,201212,11
201301,26,201301,9
201302,26,201302,4
201303,31,201303,10
201304,31,201304,13
201305,41,201305,15
201306,38,201306,16
201307,24,201307,8
201308,23,201308,12
201309,33,201309,16
201310,26,201310,10
201311,20,201311,5
201312,16,201312,7
201401,26,201401,10
201402,14,201402,2
201403,29,201403,7
201404,27,201404,12
201405,28,201405,12
201406,26,201406,9
201407,24,201407,11
201408,14,201408,6
201409,24,201409,12
201410,25,201410,9
201411,20,201411,7
201412,12,201412,6
201501,18,201501,9
201502,19,201502,5
201503,22,201503,7
201504,28,201504,9
201505,12,201505,4
201506,13,201506,6
201507,16,201507,3
201508,9,201508,6
201509,15,201509,7
201510,16,201510,5
201511,4,201511,3
201512,8,201512,4
201601,23,201601,8
201602,5,201602,0
201603,8,201603,2
201604,8,201604,4
201605,16,201605,2
201606,21,201606,6
201607,14,201607,2
201608,27,201608,8
201609,42,201609,12
201610,13,201610,3
201611,20,201611,4
201612,5,201612,0
201701,19,201701,6
201702,15,201702,7
201703,25,201703,6
201704,16,201704,7
201705,17,201705,4
201706,28,201706,7
201707,17,201707,11
201708,20,201708,5
201709,15,201709,11
201710,18,201710,4
201711,27,201711,5
201712,8,201712,2
201801,15,201801,7
201802,12,201802,6
201803,14,201803,5
201804,7,201804,3
201805,32,201805,11
201806,14,201806,5
201807,14,201807,6
201808,19,201808,6
201809,22,201809,8
201810,13,201810,2
201811,10,201811,5
201812,10,201812,5
201901,16,201901,4
201902,14,201902,3
201903,10,201903,2
201904,8,201904,1
201905,18,201905,7
201906,11,201906,2
201907,15,201907,11
201908,5,201908,1
201909,8,201909,5
201910,7,201910,2
201911,6,201911,3
201912,4,201912,0
202001,8,202001,3
202002,2,202002,0
202003,4,202003,2
202007,1,202007,0
202008,2,202008,1
202101,1,202101,0
202104,1,202104,0
202106,2,202106,0
202107,1,202107,0
202108,3,202108,2
202111,1,202111,0
202112,1,202112,0
202201,2,202201,0
202202,7,202202,2
202204,1,202204,1
202209,1,202209,0
202211,7,202211,4
202212,13,202212,3
202301,4,202301,2
202302,2,202302,2
202304,1,202304,0
202307,1,202307,0
202308,1,202308,0
202310,1,202310,0
