buginducingRefactory,number
Add Method Annotation,8
Modify Method Annotation,1
Change Parameter Type,19
Remove Class Modifier,2
Pull Up Attribute,6
Move Attribute,2
Move Class,1
Remove Parameter,8
Change Thrown Exception Type,1
Extract Variable,15
Inline Variable,5
Rename Method,9
Change Attribute Access Modifier,12
Change Method Access Modifier,5
Remove Parameter Annotation,1
Remove Attribute Modifier,6
Modify Class Annotation,2
Add Class Modifier,1
Extract And Move Method,1
Move And Inline Method,2
Modify Attribute Annotation,26
Add Parameter Modifier,11
Push Down Attribute,1
Remove Method Annotation,42
Merge Parameter,2
Remove Method Modifier,7
Change Variable Type,20
Extract Method,22
Add Thrown Exception Type,5
Push Down Method,1
Pull Up Method,1
Add Variable Modifier,1
Add Parameter,19
Rename Variable,7
Change Return Type,18
Add Attribute Modifier,17
Remove Attribute Annotation,1
Remove Thrown Exception Type,9
Extract Superclass,2
Rename Attribute,9
Extract Interface,1
Change Class Access Modifier,1
Change Attribute Type,22
Remove Class Annotation,1
Rename Parameter,9
