buginducingRefactory,number
Add Method Annotation,6
Merge Attribute,4
Modify Method Annotation,7
Change Parameter Type,32
Pull Up Attribute,19
Move Attribute,131
Remove Parameter,85
Extract Variable,1
Inline Variable,14
Rename Method,10
Reorder Parameter,2
Change Attribute Access Modifier,17
Change Method Access Modifier,9
Parameterize Variable,2
Remove Attribute Modifier,7
Modify Class Annotation,5
Extract And Move Method,3
Modify Attribute Annotation,3
Extract Class,37
Add Parameter Modifier,23
Remove Method Annotation,2
Merge Parameter,50
Remove Method Modifier,1
Split Parameter,1
Change Variable Type,3
Extract Method,11
Pull Up Method,3
Add Variable Modifier,13
Add Parameter,7
Rename Variable,3
Change Return Type,20
Remove Attribute Annotation,1
Add Attribute Modifier,4
Rename Attribute,23
Change Attribute Type,25
Remove Class Annotation,2
Rename Parameter,19
