buginducingRefactory,number
Add Method Annotation,4
Modify Method Annotation,101
Localize Parameter,8
Remove Parameter Modifier,2
Change Parameter Type,54
Remove Class Modifier,1
Move Attribute,2
Remove Variable Modifier,2
Rename Class,1
Extract Attribute,1
Replace Attribute With Variable,1
Move Class,1
Change Thrown Exception Type,11
Remove Parameter,15
Extract Variable,21
Split Attribute,1
Rename Method,25
Add Class Annotation,4
Reorder Parameter,3
Change Attribute Access Modifier,20
Change Method Access Modifier,3
Parameterize Variable,3
Remove Attribute Modifier,8
Move And Inline Method,1
Move Method,2
Add Method Modifier,2
Add Parameter Modifier,4
Remove Method Annotation,3
Encapsulate Attribute,4
Change Variable Type,26
Split Parameter,2
Add Thrown Exception Type,7
Extract Method,12
Pull Up Method,1
Add Variable Modifier,1
Add Parameter,22
Rename Variable,8
Add Attribute Modifier,17
Change Return Type,46
Remove Attribute Annotation,1
Add Attribute Annotation,4
Rename Attribute,26
Extract Superclass,1
Change Class Access Modifier,1
Change Attribute Type,24
Remove Class Annotation,21
Rename Parameter,21
