time,File
200201,0
200206,0
200207,3
200211,2
200212,1
200305,0
200307,1
200308,0
200309,0
200310,0
200311,0
200312,5
200403,0
200404,0
200406,0
200407,0
200409,1
200410,2
200411,0
200412,0
200502,0
200504,0
200506,0
200508,0
200509,0
200510,0
200601,0
200603,0
200606,0
200607,1
200608,0
200609,0
200610,1
200612,0
200702,0
200703,0
200705,0
200707,0
200710,1
200711,0
200712,1
200801,2
200802,3
200803,0
200804,0
200805,26
200811,2
200812,7
200901,11
200902,1
200905,0
200908,34
201001,13
201003,7
201004,1
201008,0
201009,6
201010,25
201012,0
201103,0
201104,0
201105,0
201107,0
201108,0
201109,0
201110,0
201201,0
201202,0
201203,0
201204,0
201205,0
201206,0
201208,0
201209,0
201210,0
201211,0
201212,7
201302,0
201304,0
201305,0
201306,0
201307,0
201310,0
201401,0
201404,0
201410,0
201412,1
201504,0
201505,0
201506,0
201508,0
201509,0
201511,0
201512,1
201604,0
201605,0
201606,1
201609,0
201611,3
201704,0
201705,0
201706,0
201709,8
201710,0
201711,0
201801,0
201803,0
201806,0
201807,0
201902,0
201904,0
201905,0
201907,0
201908,0
201909,0
201910,8
201911,0
201912,0
202004,0
202005,0
202006,0
202007,2
202008,8
202009,0
202010,5
202011,0
202012,6
202101,16
202102,2
202105,6
202106,0
202107,6
202108,0
202109,10
202110,2
202111,2
202112,0
202201,0
202202,0
202203,0
202204,3
202205,0
202206,28
202207,11
202208,3
202209,6
202210,1
202301,3
202304,11
202305,19
202306,9
202307,5
202308,2
202309,1
202310,25
202311,33
202312,24
202401,13
202402,4
202403,2
