combination,number
[Move Source Folder],66
[Extract Variable],57
[Extract Method],53
[Add Parameter],36
[Move Class],34
[Rename Method],31
[Change Variable Type],22
[Add Thrown Exception Type],22
[Remove Method Annotation],18
[Add Method Annotation],14
[Inline Variable],11
[Add Class Annotation],11
[Change Method Access Modifier],10
[Rename Attribute],10
[Rename Class],10
[Rename Variable],9
[Remove Parameter],9
[Change Attribute Type],9
[Add Attribute Modifier],8
[Change Attribute Access Modifier],8
[Change Return Type],7
[Remove Thrown Exception Type],7
[Change Parameter Type],6
[Add Method Modifier],6
[Rename Parameter],6
[Extract And Move Method],5
[Remove Method Modifier],5
[Extract Attribute],5
[Change Thrown Exception Type],5
[Add Variable Modifier],4
[Modify Class Annotation],4
[Add Class Modifier],4
[Modify Attribute Annotation],4
[Move And Rename Method],3
[Add Parameter Modifier],3
[Encapsulate Attribute],3
[Add Attribute Annotation],3
[Change Class Access Modifier],3
[Move Attribute],2
[Replace Variable With Attribute],2
[Remove Attribute Modifier],2
[Move And Inline Method],2
[Move Method],2
[Remove Parameter Annotation],1
[Inline Method],1
[Extract Superclass],1
[Modify Method Annotation],1
[Remove Class Modifier],1
[Remove Variable Modifier],1
[Replace Pipeline With Loop],1
[Add Variable Annotation],1
[Pull Up Method],1
[Remove Class Annotation],1
combination,number
"[Rename Variable, Change Variable Type]",16
"[Extract Variable, Extract Method]",11
"[Add Parameter, Extract Method]",9
"[Move Package, Move Class]",8
"[Rename Package, Move Class]",6
"[Change Return Type, Change Variable Type]",4
"[Rename Variable, Extract Variable]",4
"[Change Variable Type, Extract Method]",4
"[Change Attribute Access Modifier, Move Attribute]",4
"[Add Parameter, Add Attribute Modifier]",3
"[Change Variable Type, Change Attribute Type]",3
"[Extract Variable, Change Variable Type]",3
"[Change Method Access Modifier, Extract Method]",3
"[Extract Variable, Change Attribute Type]",3
"[Add Attribute Modifier, Change Variable Type]",3
"[Add Attribute Modifier, Remove Method Modifier]",3
"[Change Return Type, Add Thrown Exception Type]",3
"[Rename Method, Add Parameter]",3
"[Add Class Annotation, Remove Class Annotation]",3
"[Add Method Modifier, Change Attribute Type]",3
"[Add Parameter, Change Method Access Modifier]",2
"[Replace Variable With Attribute, Change Variable Type]",2
"[Add Thrown Exception Type, Rename Parameter]",2
"[Add Method Annotation, Remove Method Annotation]",2
"[Add Class Annotation, Add Method Annotation]",2
"[Add Parameter, Extract Variable]",2
"[Extract Method, Add Thrown Exception Type]",2
"[Parameterize Variable, Extract Method]",2
"[Change Parameter Type, Change Return Type]",2
"[Change Parameter Type, Change Attribute Type]",2
"[Rename Variable, Rename Parameter]",2
"[Add Method Annotation, Extract Variable]",2
"[Add Method Annotation, Rename Variable]",2
"[Change Parameter Type, Change Variable Type]",2
"[Extract Variable, Inline Variable]",2
"[Rename Variable, Extract Method]",2
"[Rename Method, Remove Parameter]",2
"[Encapsulate Attribute, Change Variable Type]",2
"[Change Return Type, Extract Interface]",2
"[Rename Method, Add Method Annotation]",2
"[Change Return Type, Change Attribute Type]",2
"[Change Parameter Type, Rename Parameter]",2
"[Localize Parameter, Add Parameter]",1
"[Change Return Type, Rename Class]",1
"[Change Attribute Access Modifier, Change Return Type]",1
"[Change Attribute Type, Extract And Move Method]",1
"[Remove Parameter, Parameterize Variable]",1
"[Remove Parameter, Remove Method Modifier]",1
"[Add Method Modifier, Remove Attribute Modifier]",1
"[Change Thrown Exception Type, Add Thrown Exception Type]",1
"[Add Parameter Modifier, Extract Method]",1
"[Remove Class Annotation, Add Class Modifier]",1
"[Change Method Access Modifier, Move Class]",1
"[Rename Variable, Change Return Type]",1
"[Add Method Modifier, Rename Attribute]",1
"[Move Class, Modify Class Annotation]",1
"[Remove Thrown Exception Type, Add Thrown Exception Type]",1
"[Add Method Modifier, Inline Variable]",1
"[Move Source Folder, Modify Class Annotation]",1
"[Add Parameter, Modify Class Annotation]",1
"[Change Method Access Modifier, Change Class Access Modifier]",1
"[Rename Class, Extract Method]",1
"[Pull Up Method, Remove Method Annotation]",1
"[Extract Class, Move Attribute]",1
"[Change Attribute Access Modifier, Pull Up Attribute]",1
"[Add Parameter, Rename Class]",1
"[Add Parameter Modifier, Remove Variable Annotation]",1
"[Add Attribute Modifier, Extract Variable]",1
"[Move Class, Remove Class Annotation]",1
"[Add Parameter, Change Attribute Type]",1
"[Add Parameter Modifier, Rename Parameter]",1
"[Extract Method, Inline Variable]",1
"[Rename Method, Add Thrown Exception Type]",1
"[Add Class Annotation, Modify Class Annotation]",1
"[Rename Attribute, Rename Parameter]",1
"[Remove Method Modifier, Extract Variable]",1
"[Remove Parameter, Extract Method]",1
"[Change Attribute Access Modifier, Add Attribute Modifier]",1
"[Encapsulate Attribute, Add Thrown Exception Type]",1
"[Rename Method, Extract Method]",1
"[Modify Attribute Annotation, Change Variable Type]",1
"[Remove Parameter Modifier, Remove Variable Modifier]",1
"[Extract Variable, Add Variable Annotation]",1
"[Change Variable Type, Modify Class Annotation]",1
"[Inline Attribute, Extract Variable]",1
"[Move And Rename Class, Remove Method Modifier]",1
"[Rename Variable, Remove Method Annotation]",1
"[Remove Variable Modifier, Change Variable Type]",1
"[Change Attribute Access Modifier, Extract Variable]",1
"[Add Method Annotation, Inline Method]",1
"[Change Method Access Modifier, Remove Thrown Exception Type]",1
"[Move Method, Extract Class]",1
"[Rename Parameter, Add Variable Annotation]",1
"[Rename Method, Inline Variable]",1
"[Change Return Type, Extract And Move Method]",1
"[Merge Attribute, Merge Parameter]",1
"[Inline Variable, Add Thrown Exception Type]",1
"[Move Attribute, Remove Attribute Modifier]",1
"[Rename Variable, Rename Attribute]",1
"[Rename Method, Extract Variable]",1
"[Modify Attribute Annotation, Modify Class Annotation]",1
"[Change Method Access Modifier, Extract Variable]",1
"[Remove Class Modifier, Add Parameter]",1
